Budget_kUSD,Duration_Months,Team_Size,Scope_Changes,Quality_Incidents,Stakeholder_Count,Team_Experience_Years,Vendor_Reliability_Score,Complexity_Score,Risk_Level
284.62,13.8,19,3,1,14,4.7,8.1,7.3,Low
674.47,8.7,12,1,0,13,2.8,9.1,1.2,Low
501.53,11.1,13,2,0,14,5.4,8.2,8.7,Low
352.77,15.6,7,2,0,11,5.8,9.6,7.2,Low
569.32,12.4,10,1,1,5,4.1,8.3,7.9,Low
529.86,19.0,17,2,3,5,4.3,8.6,8.5,Low
409.97,13.2,5,0,1,4,6.2,5.0,2.1,Low
510.47,12.6,4,1,2,6,1.0,6.5,8.4,Medium
442.2,11.1,17,0,1,14,3.3,6.9,5.5,Low
517.03,12.4,13,1,1,4,5.4,5.5,9.0,Low
599.32,11.5,12,3,0,11,3.9,7.2,9.0,Medium
737.9,14.1,6,2,3,14,3.9,5.7,1.2,Low
314.33,14.9,19,3,3,12,6.8,8.1,4.4,Low
819.96,9.6,7,2,0,9,3.7,6.8,5.7,Medium
207.19,8.0,19,1,0,10,9.0,6.8,7.1,Low
477.23,6.5,7,3,2,5,1.5,9.9,3.6,Low
588.25,13.5,5,1,0,8,0.6,6.4,3.3,Low
542.15,8.7,13,2,0,12,6.8,6.2,4.4,Low
406.6,5.5,3,3,1,8,3.0,5.9,5.5,Medium
468.78,13.2,18,2,0,3,3.1,9.4,9.6,Low
426.05,19.5,12,1,1,8,7.0,7.0,7.9,Low
411.6,12.0,12,4,1,5,4.0,7.6,4.9,Low
627.44,14.5,17,1,0,13,6.8,5.1,1.5,Low
553.55,12.2,3,2,2,5,3.8,7.2,2.5,Low
396.06,11.7,3,0,1,5,5.7,5.6,5.1,Low
634.94,14.8,9,0,2,12,4.0,8.4,8.3,Low
546.09,11.1,14,1,1,13,3.2,9.0,4.4,Low
621.93,12.8,11,3,1,13,8.5,8.3,5.8,Low
594.44,13.0,9,1,1,12,7.2,8.4,9.0,Low
375.65,10.0,5,1,1,13,3.5,7.1,9.2,Medium
415.97,15.0,16,0,1,10,4.6,8.3,2.9,Low
612.09,11.5,2,2,1,7,8.0,6.5,1.4,Low
591.56,9.7,12,1,1,6,3.0,7.9,3.7,Low
496.86,13.6,8,2,1,11,3.1,5.6,7.3,Medium
517.6,9.3,18,1,1,11,5.9,4.4,9.6,Medium
691.65,12.1,19,1,0,3,9.5,6.5,1.7,Low
411.26,12.0,13,4,0,4,5.1,6.8,1.3,Low
582.06,15.3,10,2,2,10,7.1,5.5,9.0,Medium
469.67,13.4,6,0,0,7,3.0,8.4,7.7,Low
467.35,11.9,11,1,1,9,5.7,4.4,9.9,Medium
664.82,14.5,5,2,1,3,4.3,5.3,4.6,Low
623.81,16.2,6,4,1,14,8.7,8.5,4.7,Low
622.03,13.7,11,1,2,12,8.2,6.6,2.6,Low
695.82,12.0,12,0,0,14,9.6,8.2,2.0,Low
503.15,8.1,11,3,2,7,3.6,7.4,6.2,Medium
602.29,8.8,9,1,0,13,5.1,9.7,4.3,Low
453.46,11.1,3,5,1,14,5.8,7.6,1.7,Low
548.62,10.2,9,2,1,5,3.7,4.1,9.0,Medium
480.48,11.4,17,6,3,12,5.3,6.1,2.8,Low
514.55,12.2,6,0,1,14,6.8,4.9,7.7,Medium
589.27,13.6,4,2,1,14,3.9,9.5,3.5,Low
377.27,11.8,13,1,0,4,3.6,4.6,8.3,Low
813.86,13.5,14,2,1,4,3.5,6.3,2.1,Low
349.1,12.2,14,0,3,11,2.3,5.4,7.8,Medium
317.87,6.1,11,2,2,6,6.7,9.1,1.9,Low
673.72,9.2,5,2,1,6,3.6,5.9,5.0,Medium
618.75,11.6,10,1,2,9,3.4,10.0,7.6,Low
593.62,8.4,3,3,1,12,6.1,4.2,2.6,Medium
594.25,13.8,2,1,1,12,5.0,4.8,3.6,Low
498.16,16.6,8,0,0,4,3.9,5.3,8.8,Low
365.41,15.7,18,1,1,5,6.6,8.9,9.0,Low
511.37,11.4,4,1,1,5,3.9,9.3,1.4,Low
398.43,16.5,4,2,1,8,0.6,4.4,2.5,Low
646.27,12.4,4,3,2,5,7.7,4.2,2.1,Low
477.94,11.0,18,5,0,13,3.3,8.5,2.6,Low
376.18,10.2,8,1,1,7,3.6,4.8,9.7,Medium
451.79,11.1,15,2,1,6,3.6,4.8,6.0,Low
561.94,10.8,18,3,3,5,5.1,4.1,5.2,Low
415.44,12.5,19,3,0,10,4.5,4.3,9.9,Medium
376.67,12.5,14,3,1,12,7.0,5.6,6.0,Low
536.55,12.0,19,0,0,5,8.3,4.4,7.0,Low
536.74,13.3,5,3,0,8,3.6,6.2,4.0,Low
423.96,15.6,2,3,1,9,3.1,9.0,4.4,Low
429.34,14.8,19,2,0,9,4.0,6.0,6.3,Low
534.81,7.5,2,4,0,4,5.9,8.4,1.6,Low
282.79,4.3,14,2,2,5,4.8,4.6,3.3,Low
288.88,14.8,11,1,1,14,4.0,8.0,2.8,Low
392.23,7.9,12,0,0,12,2.4,5.9,1.1,Low
467.98,11.3,10,2,0,12,0.6,8.5,5.8,Low
546.64,8.5,10,0,2,6,3.0,4.8,6.0,Low
721.3,6.6,6,3,1,9,7.5,9.4,4.5,Low
628.65,13.6,2,1,2,4,5.9,5.5,3.4,Low
476.01,14.3,18,0,0,5,4.6,6.1,6.9,Low
497.15,10.3,3,2,1,9,6.5,9.7,2.2,Low
349.62,4.2,14,0,3,9,2.4,7.5,5.7,Low
497.22,10.4,10,1,0,12,5.1,6.2,7.9,Low
456.7,13.2,5,1,1,5,1.4,9.7,2.5,Low
548.41,7.6,6,2,1,14,5.7,6.0,7.8,Medium
375.92,12.6,12,1,0,3,5.5,4.6,7.8,Low
577.9,12.0,4,0,0,14,5.6,10.0,1.5,Low
729.91,13.7,13,1,1,5,7.3,5.6,1.2,Low
483.69,12.4,14,0,2,7,6.6,9.1,9.8,Low
560.26,9.1,8,2,1,9,2.6,5.0,2.7,Low
603.52,15.6,16,2,1,6,7.4,8.4,8.4,Low
439.82,11.5,8,1,1,13,4.6,7.1,6.1,Low
533.61,11.9,9,2,3,13,1.1,9.9,3.4,Low
501.89,9.2,6,3,1,3,4.8,7.3,2.2,Low
514.65,10.7,15,1,1,8,6.3,4.2,5.5,Low
384.05,9.3,5,2,4,4,3.0,7.6,4.7,Medium
503.68,11.5,11,3,1,14,7.7,4.9,7.3,Medium
574.7,17.1,16,2,2,5,3.2,8.8,9.1,Low
717.67,7.9,19,3,1,6,4.0,9.1,8.2,Low
643.89,7.2,14,2,0,8,3.7,6.9,3.5,Low
822.98,16.4,9,2,1,8,1.6,8.7,8.9,Medium
384.9,11.4,10,1,0,9,3.0,4.9,8.5,Low
630.85,10.0,17,6,2,7,3.6,7.0,9.4,High
527.5,15.1,17,2,0,9,4.7,6.4,5.1,Low
828.47,10.2,8,2,1,4,0.5,7.7,7.9,Medium
378.76,17.5,15,1,1,3,6.4,4.3,6.3,Low
374.04,14.0,15,1,2,14,6.4,8.5,3.8,Low
410.09,10.5,5,1,2,12,7.4,4.5,9.9,Medium
181.42,18.5,16,2,1,10,2.0,7.9,1.3,Low
421.14,10.2,4,5,2,3,4.4,4.1,2.5,Medium
386.13,14.2,6,2,1,14,6.9,9.0,9.0,Low
522.56,12.9,2,1,0,4,7.1,5.0,1.5,Low
551.26,15.9,4,1,2,13,8.0,7.1,9.0,Medium
781.43,16.7,16,2,1,14,5.2,5.6,7.4,Low
642.56,12.1,9,3,1,12,4.9,8.3,1.3,Low
413.46,9.7,5,1,0,8,1.9,5.9,4.9,Low
365.24,13.4,3,2,1,3,7.1,8.3,7.8,Low
573.79,10.0,11,5,1,12,4.1,5.7,6.2,Medium
301.97,18.0,5,1,0,5,5.1,8.5,9.4,Low
774.72,12.4,4,2,0,9,4.9,4.2,8.8,Medium
676.92,10.9,3,4,1,14,0.5,5.7,4.0,High
429.62,12.6,18,4,4,10,3.4,7.0,1.8,Low
243.03,8.0,14,3,0,6,5.9,4.3,9.5,Low
703.08,9.1,6,2,1,14,4.9,5.1,5.7,Medium
482.82,15.6,10,2,3,5,5.9,9.6,1.7,Low
685.67,10.0,7,1,1,3,6.6,9.9,8.3,Low
260.84,8.9,6,1,1,14,3.4,8.4,8.8,Medium
410.09,13.6,11,1,1,11,4.0,5.5,6.8,Low
500.79,15.6,9,3,3,12,4.7,5.6,5.0,Medium
507.05,14.2,8,4,2,8,6.5,7.9,7.0,Medium
432.49,15.0,8,0,0,8,4.5,4.7,7.4,Low
593.43,9.7,7,3,0,11,1.4,9.7,9.0,Medium
339.86,7.7,4,3,0,3,4.6,5.3,9.6,Medium
478.64,16.5,16,2,2,8,6.5,10.0,5.6,Low
518.04,11.0,5,3,2,14,7.7,7.0,8.2,Medium
577.17,11.2,13,5,2,7,5.6,8.6,9.7,Medium
606.74,16.0,7,3,0,13,2.0,4.0,2.4,Low
331.3,13.7,5,1,1,8,4.2,9.3,1.2,Low
269.88,13.4,16,2,1,13,6.0,5.6,8.8,Low
691.65,18.5,10,0,1,10,6.7,8.0,2.8,Low
549.85,10.1,6,2,0,7,6.0,8.8,1.4,Low
387.73,14.8,14,3,1,4,4.5,5.0,2.4,Low
732.67,12.2,19,4,3,14,6.7,6.7,4.5,Low
517.35,12.8,6,0,2,14,3.7,7.0,3.0,Low
676.89,16.6,17,1,0,4,5.4,5.9,3.7,Low
510.13,13.5,15,1,1,12,6.5,6.9,9.8,Low
809.11,13.6,17,1,0,7,6.2,5.9,7.3,Low
763.3,15.2,16,0,0,5,6.2,6.2,7.4,Low
462.66,10.9,5,1,1,12,6.1,8.0,1.9,Low
645.74,9.5,8,2,2,5,2.9,7.8,7.6,Medium
596.81,8.9,17,3,0,10,5.0,5.4,7.7,Low
705.29,6.1,9,4,4,9,3.2,9.4,6.9,High
355.26,18.2,18,1,1,3,4.4,9.2,3.1,Low
602.91,8.7,17,4,0,14,2.7,7.1,4.8,Low
658.76,11.3,11,1,1,14,5.7,6.6,8.6,Medium
236.19,11.2,11,2,0,7,1.1,6.3,7.0,Low
322.51,12.9,3,1,1,11,6.2,8.2,7.6,Low
194.12,14.4,10,2,1,6,5.0,8.0,6.3,Low
459.59,14.6,18,5,0,3,8.8,5.2,5.0,Low
607.63,10.3,12,2,0,10,4.6,8.0,7.8,Low
725.35,11.5,11,0,0,7,4.6,5.5,1.6,Low
511.11,12.8,18,2,0,4,6.4,4.1,7.1,Low
744.29,11.3,5,2,1,14,4.7,8.2,10.0,High
292.98,16.8,17,2,3,3,5.5,7.9,8.0,Low
244.49,13.5,16,1,0,14,7.0,6.5,3.6,Low
491.67,14.2,6,5,3,14,4.5,7.2,3.5,Medium
557.61,14.0,7,1,3,14,7.4,9.7,7.0,Low
495.1,15.5,18,1,2,5,1.6,7.6,9.1,Low
189.88,12.5,2,3,2,11,8.2,7.9,6.2,Low
