order_id,basket_size,promo_flag,store_format,high_margin
121,229.15,0,D,0
122,401.7,1,C,1
123,334.27,1,A,1
124,434.22,1,A,1
125,258.73,1,A,0
126,157.16,1,B,0
127,90.99,1,D,0
128,28.98,0,A,0
129,212.19,1,A,0
130,233.0,0,A,0
131,433.99,0,A,1
132,409.78,0,A,1
133,389.38,0,C,1
134,142.98,0,A,0
135,231.72,1,D,0
136,312.36,0,A,1
137,420.2,1,B,1
138,144.27,1,B,0
139,428.22,0,B,1
140,177.73,1,A,0
141,406.02,0,B,1
142,326.49,0,A,1
143,306.93,0,A,1
144,205.97,0,A,0
145,76.74,0,A,0
146,39.13,1,A,0
147,405.02,1,B,1
148,11.86,1,C,0
149,341.69,1,D,1
150,160.07,1,D,0
151,394.97,0,A,1
152,149.22,0,D,0
153,493.19,1,B,1
154,195.79,1,A,0
155,404.5,0,A,1
156,157.32,0,D,0
157,164.78,1,D,0
158,261.55,0,C,0
159,327.46,0,C,1
160,207.1,1,D,0
161,74.44,1,B,0
162,63.8,0,A,0
163,387.44,0,A,1
164,325.78,0,B,1
165,275.56,1,C,1
166,231.89,1,D,0
167,400.48,0,C,1
168,42.49,0,B,0
169,125.15,0,B,0
170,101.33,1,B,0
171,152.84,1,B,0
172,218.37,1,C,0
173,275.12,1,C,1
174,257.79,0,A,0
175,363.1,1,B,1
176,400.58,1,B,1
177,346.55,1,D,1
178,448.49,0,B,1
179,362.98,0,C,1
180,215.69,0,C,0
181,294.25,0,D,1
182,496.69,1,C,1
183,113.88,1,A,0
184,463.97,1,A,1
185,37.91,1,B,0
186,125.89,0,B,0
187,120.59,0,D,0
188,143.94,1,B,0
189,115.5,1,C,0
190,270.94,1,C,0
191,252.34,1,A,0
192,126.82,0,C,0
193,72.78,0,D,0
194,98.91,1,A,0
195,197.08,1,B,0
196,318.77,1,A,1
197,334.33,0,D,1
198,482.4,1,B,1
199,493.18,1,C,1
200,237.17,0,A,0
201,235.92,0,B,0
202,179.18,0,D,0
203,438.73,1,D,1
204,127.06,0,B,0
205,166.54,1,B,0
206,118.78,0,D,0
207,211.04,1,A,0
208,25.54,1,D,0
209,276.24,1,A,1
210,308.35,1,C,1
211,90.57,0,C,0
212,478.75,1,D,1
213,379.16,0,B,1
214,203.69,0,B,0
215,388.67,1,C,1
216,133.08,0,D,0
217,328.33,0,A,1
218,221.91,1,A,0
219,341.02,0,A,1
220,52.71,0,C,0
221,51.53,0,A,0
222,78.93,1,A,0
223,96.72,1,D,0
224,206.76,1,D,0
225,152.55,0,D,0
226,95.82,0,D,0
227,216.11,0,C,0
228,56.5,1,A,0
229,283.91,0,C,1
230,208.17,0,D,0
231,19.6,0,B,0
232,288.5,0,A,1
233,409.94,0,D,1
234,198.6,1,D,0
235,282.91,1,C,1
236,405.17,1,A,1
237,63.74,1,C,0
238,78.55,0,B,0
239,473.35,1,B,1
240,336.75,1,C,1
241,284.48,1,A,1
242,234.66,1,C,0
243,359.55,1,C,1
244,378.17,1,C,1
245,340.05,0,B,1
246,299.95,0,D,1
247,313.76,0,A,1
248,195.89,1,D,0
249,239.32,1,C,0
250,326.94,0,C,1
251,123.37,0,B,0
252,486.24,0,C,1
253,164.72,0,C,0
254,69.33,0,C,0
255,318.22,0,B,1
256,174.69,0,B,0
257,388.42,0,A,1
258,195.62,0,A,0
259,236.82,0,A,0
260,15.48,1,D,0
261,408.37,0,B,1
262,172.08,1,A,0
263,415.46,0,A,1
264,176.34,1,B,0
265,73.39,1,D,0
266,271.35,1,B,0
267,428.3,1,A,1
268,478.24,0,B,1
269,499.38,0,D,1
270,189.96,0,D,0
271,71.17,1,A,0
272,138.69,1,D,0
273,301.27,0,A,1
274,90.38,0,C,0
275,300.77,0,A,1
276,488.48,0,C,1
277,405.23,1,A,1
278,92.39,1,C,0
279,155.19,1,D,0
280,107.28,0,A,0
281,206.41,1,D,0
282,461.34,0,D,1
283,44.2,1,C,0
284,73.73,1,D,0
285,285.9,0,C,1
286,353.14,0,C,1
287,150.94,1,A,0
288,211.81,0,A,0
289,308.4,0,A,1
290,398.11,0,C,1
291,38.84,0,D,0
292,365.86,0,A,1
293,430.46,1,D,1
294,154.92,0,C,0
295,408.2,0,D,1
296,470.15,0,D,1
297,416.11,0,C,1
298,107.04,1,D,0
299,215.52,0,C,0
300,175.53,1,A,0
301,45.86,1,C,0
302,465.45,0,C,1
303,346.66,0,D,1
304,16.58,1,C,0
305,177.7,1,C,0
306,98.6,1,A,0
307,353.62,1,C,1
308,286.8,0,A,1
309,268.14,0,C,0
310,357.68,1,D,1
311,388.54,0,B,1
312,459.99,0,A,1
313,298.57,0,B,1
314,50.39,0,A,0
315,412.94,0,B,1
316,175.79,1,A,0
317,143.85,1,A,0
318,465.05,0,A,1
319,105.29,0,D,0
320,75.14,1,A,0
321,285.05,0,D,1
322,431.6,0,A,1
323,37.1,1,C,0
324,14.95,1,C,0
325,395.98,0,A,1
326,484.19,1,D,1
327,212.78,0,C,0
328,143.27,1,B,0
329,335.08,1,C,1
330,320.27,1,C,1
331,350.9,0,D,1
332,483.18,0,C,1
333,102.63,0,C,0
334,89.7,0,B,0
335,305.75,0,C,1
336,424.0,0,D,1
337,293.32,0,C,1
338,272.0,1,A,0
339,288.32,0,C,1
340,302.37,1,C,1
341,35.9,0,B,0
342,331.5,1,D,1
343,199.74,1,C,0
344,490.64,1,A,1
345,271.32,1,D,0
346,441.11,0,C,1
347,363.55,0,B,1
348,226.6,0,D,0
349,106.89,0,A,0
350,251.98,0,B,0
351,90.65,1,D,0
352,54.91,1,B,0
353,421.25,1,D,1
354,14.44,0,B,0
355,469.75,0,B,1
356,61.54,0,D,0
357,372.06,1,A,1
358,181.85,0,A,0
359,321.72,0,A,1
360,49.05,0,D,0
361,284.42,0,A,1
362,444.06,0,D,1
363,340.3,1,A,1
364,402.54,1,B,1
365,255.78,0,C,0
366,138.01,0,D,0
367,239.83,1,A,0
368,226.18,0,A,0
369,372.02,0,A,1
370,346.87,1,D,1
371,318.79,1,C,1
372,451.0,1,A,1
373,229.36,1,B,0
374,372.83,1,C,1
375,190.47,0,B,0
376,293.95,0,B,1
377,417.27,1,A,1
378,211.69,0,B,0
379,467.67,0,C,1
380,199.22,0,A,0
381,168.05,0,A,0
382,258.14,0,D,0
383,313.18,1,B,1
384,151.95,1,B,0
385,217.67,0,A,0
386,411.92,0,C,1
387,438.74,1,B,1
388,138.68,0,A,0
389,55.01,0,D,0
390,197.86,1,B,0
391,473.72,0,D,1
392,461.23,1,B,1
393,411.4,0,D,1
394,471.02,1,B,1
395,127.71,0,C,0
396,70.56,1,D,0
397,94.64,1,A,0
398,155.38,0,A,0
399,187.7,1,C,0
400,298.9,0,D,1
401,338.11,1,D,1
402,148.01,0,C,0
403,334.33,0,A,1
404,184.92,1,A,0
405,303.15,1,C,1
406,356.37,1,D,1
407,51.62,1,A,0
408,114.83,0,A,0
409,183.12,0,A,0
410,211.06,0,B,0
411,482.24,1,C,1
412,48.26,0,B,0
413,197.7,0,D,0
414,209.77,1,D,0
415,479.63,0,A,1
416,337.05,1,A,1
417,184.37,1,C,0
418,441.11,0,B,1
419,101.92,1,B,0
420,350.72,0,A,1
421,109.06,1,D,0
422,345.81,1,A,1
423,462.0,0,D,1
424,499.9,0,A,1
425,469.09,1,A,1
426,329.75,0,B,1
427,163.92,1,B,0
428,18.7,0,A,0
429,84.48,1,C,0
430,471.14,0,A,1
431,160.39,0,C,0
432,54.38,1,B,0
433,107.45,1,D,0
434,496.38,1,A,1
435,343.92,1,B,1
436,353.09,0,B,1
437,484.02,0,C,1
438,84.09,0,B,0
439,149.56,0,A,0
440,331.7,0,C,1
441,387.42,1,A,1
442,464.66,1,B,1
443,57.05,1,A,0
444,201.42,0,A,0
445,52.81,0,D,0
446,336.77,0,C,1
447,446.7,1,C,1
448,220.69,0,D,0
449,318.65,0,C,1
450,85.6,0,D,0
451,295.22,0,D,1
452,419.51,0,A,1
453,422.44,1,C,1
454,405.68,1,D,1
455,115.35,0,B,0
456,219.17,0,C,0
457,330.56,1,D,1
458,175.59,1,C,0
459,75.31,0,D,0
460,251.51,1,D,0
461,472.73,1,A,1
462,115.93,0,A,0
463,152.7,0,D,0
464,96.27,1,B,0
465,394.75,1,C,1
466,492.98,1,A,1
467,26.37,1,D,0
468,171.37,0,D,0
469,240.52,1,D,0
470,56.48,1,B,0
471,318.87,0,D,1
472,381.54,1,A,1
473,318.09,0,B,1
474,376.05,1,D,1
475,80.76,1,B,0
476,80.8,0,D,0
477,482.72,0,B,1
478,145.54,1,A,0
479,57.58,1,B,0
480,59.99,1,B,0
481,24.26,0,C,0
482,129.52,0,D,0
483,206.43,1,A,0
484,428.42,1,A,1
485,120.91,1,C,0
486,147.06,0,D,0
487,64.39,0,C,0
488,125.59,1,D,0
489,291.33,0,A,1
490,314.76,1,C,1
491,40.14,1,D,0
492,393.46,1,C,1
493,478.61,0,A,1
494,335.35,1,A,1
495,446.3,1,D,1
496,71.92,0,D,0
497,438.68,1,C,1
498,103.38,0,D,0
499,82.24,1,B,0
500,456.62,1,D,1
501,141.22,1,D,0
502,149.11,0,B,0
503,52.34,0,B,0
504,146.07,0,D,0
505,449.66,0,D,1
506,299.23,1,A,1
507,174.12,0,A,0
508,428.92,1,A,1
509,397.37,0,C,1
510,188.27,1,C,0
511,350.28,1,B,1
512,374.1,0,C,1
513,253.02,1,D,0
514,422.34,1,B,1
515,231.91,0,A,0
516,142.83,0,A,0
517,104.15,1,C,0
518,240.78,0,A,0
519,409.24,1,B,1
520,54.89,1,C,0
521,381.0,1,C,1
522,478.08,1,C,1
523,187.42,0,C,0
524,242.25,0,A,0
525,495.35,1,A,1
526,116.03,0,A,0
527,467.41,1,C,1
528,353.38,1,A,1
529,412.58,1,D,1
530,426.33,0,D,1
531,336.01,1,C,1
532,83.97,0,A,0
533,38.33,1,C,0
534,416.29,0,D,1
535,30.6,1,D,0
536,446.06,0,B,1
537,193.53,0,D,0
538,113.78,0,D,0
539,453.3,0,C,1
540,265.95,1,D,0
541,282.53,1,A,1
542,148.48,1,B,0
543,264.73,0,C,0
544,171.08,0,A,0
545,474.43,1,B,1
546,76.86,0,B,0
547,298.51,0,C,1
548,248.47,1,A,0
549,191.95,0,D,0
550,12.08,1,B,0
551,198.2,0,B,0
552,161.08,0,A,0
553,97.52,0,B,0
554,185.54,1,B,0
555,473.28,1,A,1
556,137.01,0,A,0
557,443.15,1,A,1
558,127.26,1,B,0
559,226.04,1,B,0
560,455.03,0,A,1
561,456.08,0,B,1
562,54.7,1,D,0
563,318.51,1,C,1
564,215.55,0,B,0
565,242.51,1,C,0
566,179.99,1,C,0
567,165.14,1,B,0
568,23.52,1,A,0
569,272.02,0,A,0
570,236.21,0,D,0
571,103.7,0,A,0
572,383.23,1,A,1
573,221.7,0,A,0
574,208.08,1,B,0
575,411.76,1,B,1
576,243.77,0,B,0
577,176.73,0,A,0
578,78.97,0,D,0
579,369.74,1,D,1
580,111.15,1,A,0
581,181.94,1,D,0
582,408.45,1,B,1
583,286.31,0,D,1
584,10.85,1,C,0
585,367.48,0,C,1
586,329.45,1,D,1
587,426.45,1,C,1
588,74.94,1,A,0
589,55.33,0,A,0
590,108.93,0,B,0
591,23.99,0,B,0
592,382.69,1,B,1
593,498.57,1,B,1
594,152.68,1,D,0
595,258.78,1,D,0
596,154.75,0,B,0
597,143.98,0,C,0
598,227.67,0,C,0
599,208.66,0,C,0
600,75.37,1,D,0
601,475.97,0,A,1
602,153.01,0,C,0
603,72.91,0,B,0
604,476.85,0,D,1
605,231.99,1,D,0
606,73.63,1,C,0
607,217.84,1,B,0
608,426.55,1,A,1
609,194.2,0,B,0
610,125.46,0,B,0
611,411.99,1,C,1
612,487.22,1,A,1
613,371.95,1,A,1
614,182.74,1,B,0
615,451.44,1,A,1
616,286.75,1,B,1
617,130.95,1,C,0
618,97.59,1,D,0
619,183.8,1,C,0
620,192.04,1,B,0
621,334.31,0,A,1
622,275.44,0,C,1
623,185.44,0,A,0
624,410.81,0,D,1
625,456.46,1,C,1
626,256.49,0,B,0
627,138.0,0,D,0
628,404.26,0,D,1
629,327.25,0,A,1
630,422.65,1,B,1
631,332.27,0,C,1
632,323.38,1,D,1
633,231.78,0,B,0
634,210.17,0,B,0
635,206.28,1,C,0
636,163.77,1,C,0
637,199.07,0,D,0
638,475.14,0,D,1
639,431.7,0,C,1
640,498.37,1,C,1
641,38.05,0,A,0
642,218.74,1,D,0
643,116.08,0,D,0
644,139.47,1,D,0
645,56.42,1,B,0
646,390.92,1,B,1
647,21.47,1,B,0
648,68.49,1,C,0
649,486.02,1,B,1
650,43.56,0,C,0
651,282.75,0,A,1
652,240.12,1,C,0
653,223.01,0,A,0
654,196.01,1,C,0
655,102.75,0,B,0
656,412.47,1,A,1
657,492.35,0,C,1
658,134.47,0,D,0
659,116.26,1,C,0
660,300.4,1,A,1
661,449.49,0,C,1
662,198.62,0,D,0
663,138.06,0,A,0
664,283.89,1,C,1
665,359.55,1,A,1
666,259.9,1,B,0
667,99.57,0,A,0
668,106.26,1,A,0
669,97.75,1,B,0
670,273.13,0,A,0
671,499.61,1,C,1
672,122.16,1,B,0
673,256.99,1,D,0
674,369.99,1,B,1
675,146.33,1,A,0
676,276.02,1,A,1
677,411.94,1,A,1
678,76.47,1,B,0
679,381.22,1,D,1
680,169.83,0,D,0
681,57.66,0,D,0
682,443.37,0,B,1
683,488.75,1,D,1
684,208.21,0,B,0
685,367.99,1,B,1
686,225.95,1,A,0
687,188.32,0,C,0
688,382.82,1,B,1
689,177.41,1,C,0
690,70.94,0,B,0
691,308.83,0,A,1
692,383.51,0,D,1
693,240.83,0,B,0
694,57.9,0,A,0
695,212.75,0,B,0
696,452.05,1,D,1
697,271.89,1,B,1
698,262.47,0,D,0
699,251.01,1,B,0
700,215.81,1,D,0
701,90.5,1,A,0
702,488.68,1,B,1
703,324.31,1,D,1
704,199.98,0,A,0
705,490.64,0,D,1
706,58.99,1,B,0
707,130.41,0,C,0
708,355.33,0,A,1
709,110.92,0,C,0
710,43.41,0,D,0
711,374.39,0,D,1
712,379.33,0,D,1
713,156.22,1,A,0
714,193.41,1,B,0
715,441.68,0,D,1
716,282.63,1,B,1
717,95.67,0,A,0
718,245.78,0,B,0
719,245.76,0,B,0
720,138.82,1,C,0
721,127.9,1,C,0
722,280.92,1,D,1
723,70.64,0,B,0
724,439.37,0,A,1
725,259.22,1,B,0
726,293.49,1,A,1
727,353.76,1,B,1
728,26.69,1,C,0
729,177.35,0,C,0
730,356.6,0,C,1
731,411.23,1,D,1
732,121.57,0,B,0
733,74.11,0,D,0
734,145.42,1,C,0
735,258.33,0,A,0
736,178.86,1,D,0
737,485.33,0,B,1
738,476.08,1,D,1
739,88.66,1,B,0
740,471.99,1,B,1
741,132.22,1,D,0
742,72.57,0,C,0
743,232.18,0,A,0
744,75.3,0,C,0
745,363.49,0,C,1
746,342.11,0,B,1
747,273.05,1,D,1
748,279.68,0,B,1
749,226.07,1,C,0
750,141.85,0,C,0
751,56.26,1,B,0
752,374.66,1,D,1
753,62.34,0,D,0
754,118.67,0,A,0
755,204.58,1,D,0
756,293.93,1,A,1
757,349.1,0,B,1
758,366.66,1,A,1
759,128.5,0,C,0
760,499.25,0,D,1
761,348.33,1,C,1
762,342.18,0,B,1
763,292.12,1,C,1
764,299.16,1,A,1
765,395.9,1,B,1
766,74.91,1,C,0
767,301.79,1,D,1
768,276.43,1,D,1
769,140.13,0,C,0
770,256.78,0,B,0
771,176.94,0,C,0
772,313.23,1,A,1
773,84.89,0,A,0
774,275.15,1,B,1
775,105.75,0,B,0
776,448.59,0,D,1
777,190.38,1,C,0
778,39.53,0,B,0
779,378.8,0,A,1
780,181.73,0,A,0
781,242.34,0,C,0
782,445.1,0,B,1
783,90.91,0,A,0
784,470.18,0,D,1
785,464.84,1,D,1
786,459.64,1,A,1
787,337.76,1,C,1
788,265.61,0,C,0
789,473.95,1,B,1
790,478.72,1,B,1
791,306.56,1,B,1
792,310.49,0,D,1
793,269.53,1,A,0
794,328.01,1,D,1
795,29.99,0,D,0
796,480.18,1,D,1
797,466.38,1,B,1
798,162.98,1,C,0
799,130.35,0,B,0
800,76.36,1,B,0
801,340.61,1,D,1
802,58.87,0,B,0
803,178.91,0,B,0
804,150.48,1,D,0
805,338.41,0,C,1
806,151.4,1,C,0
807,412.8,0,A,1
808,266.05,0,D,0
809,339.26,1,A,1
810,499.23,1,B,1
811,349.79,0,A,1
812,203.35,1,B,0
813,116.88,0,C,0
814,428.15,0,D,1
815,400.35,0,D,1
816,146.2,0,B,0
817,140.54,1,B,0
818,169.62,1,B,0
819,67.88,0,C,0
820,27.37,0,C,0
821,162.33,0,A,0
822,28.88,0,C,0
823,62.58,0,B,0
824,131.22,0,B,0
825,365.99,1,C,1
826,495.06,0,D,1
827,94.99,1,C,0
828,145.64,1,A,0
829,83.6,0,D,0
830,154.54,0,D,0
831,330.19,0,D,1
832,467.22,1,C,1
833,58.3,0,A,0
834,174.06,0,B,0
835,132.27,0,B,0
836,130.09,1,B,0
837,203.88,0,C,0
838,62.21,1,B,0
839,445.15,1,D,1
840,323.06,0,A,1
841,54.71,1,B,0
842,406.97,1,D,1
843,169.91,1,A,0
844,258.46,1,B,0
845,391.16,1,B,1
846,289.21,1,C,1
847,244.89,1,B,0
848,34.5,0,C,0
849,19.29,0,D,0
850,481.31,1,C,1
851,67.2,1,C,0
852,26.53,0,A,0
853,206.9,0,B,0
854,273.55,0,C,0
855,232.17,0,A,0
856,271.83,0,D,0
857,433.23,0,A,1
858,309.65,1,C,1
859,382.57,0,D,1
860,267.97,1,A,0
861,298.32,0,A,1
862,362.73,1,B,1
863,64.85,1,B,0
864,210.31,1,C,0
865,275.69,0,C,1
866,207.07,0,D,0
867,205.77,1,D,0
868,171.31,0,C,0
869,341.5,1,B,1
870,242.77,0,C,0
871,67.98,0,B,0
872,196.81,1,C,0
873,219.05,0,B,0
874,441.5,0,D,1
875,162.74,0,B,0
876,77.89,1,C,0
877,126.02,1,A,0
878,151.79,1,A,0
879,433.18,1,C,1
880,326.34,1,D,1
881,159.9,0,B,0
882,353.7,1,A,1
883,336.07,0,D,1
884,369.4,1,A,1
885,48.18,1,B,0
886,291.08,1,C,1
887,350.93,0,B,1
888,252.61,1,B,0
889,195.29,1,B,0
890,146.06,1,A,0
891,395.3,1,C,1
892,81.8,0,C,0
893,419.97,0,B,1
894,462.26,1,B,1
895,202.85,1,A,0
896,332.57,0,B,1
897,247.74,1,D,0
898,223.85,0,D,0
899,234.87,0,C,0
900,363.13,0,B,1
901,215.82,1,B,0
902,371.47,1,C,1
903,414.87,1,A,1
904,117.84,0,A,0
905,307.73,0,D,1
906,386.37,0,D,1
907,60.05,0,A,0
908,164.55,0,A,0
909,404.02,1,B,1
910,478.92,1,D,1
911,426.35,0,A,1
912,146.3,0,A,0
913,301.86,1,B,1
914,426.83,1,C,1
915,303.22,1,A,1
916,73.67,1,B,0
917,461.43,0,C,1
918,465.59,0,B,1
919,125.06,0,B,0
920,71.96,0,C,0
921,458.81,1,C,1
922,410.93,1,C,1
923,174.2,0,D,0
924,136.59,1,C,0
925,16.94,1,A,0
926,478.49,1,A,1
927,273.02,1,A,1
928,12.08,1,D,0
929,318.69,1,A,1
930,17.36,1,D,0
931,53.11,1,A,0
932,332.53,1,D,1
933,406.04,1,D,1
934,421.27,1,C,1
935,98.91,1,D,0
936,234.99,1,A,0
937,243.69,0,B,0
938,106.36,0,C,0
939,35.47,0,D,0
940,258.24,0,C,0
941,79.81,1,B,0
942,160.57,1,B,0
943,140.37,0,D,0
944,293.2,0,C,1
945,167.1,1,C,0
946,475.79,0,B,1
947,463.39,0,A,1
948,68.21,1,A,0
949,20.15,1,C,0
950,278.84,1,B,1
951,405.67,0,A,1
952,234.38,0,A,0
953,29.0,1,C,0
954,211.1,0,B,0
955,275.45,0,A,1
956,395.22,0,A,1
957,200.68,0,C,0
958,140.29,0,C,0
959,212.75,1,B,0
960,368.35,0,D,1
961,425.4,0,C,1
962,113.08,0,C,0
963,291.15,1,C,1
964,207.63,1,A,0
965,21.86,0,B,0
966,418.78,0,D,1
967,369.27,1,A,1
968,429.94,1,C,1
969,86.22,1,A,0
970,150.41,1,B,0
971,140.88,0,D,0
972,38.8,0,A,0
973,345.5,0,A,1
974,325.09,1,A,1
975,467.58,0,A,1
976,270.51,0,D,0
977,172.5,1,C,0
978,438.82,0,C,1
979,187.32,1,B,0
980,392.69,1,C,1
981,434.15,0,D,1
982,232.25,0,B,0
983,99.7,0,B,0
984,200.12,1,C,0
985,57.78,0,D,0
986,483.15,1,D,1
987,189.91,0,A,0
988,132.69,1,B,0
989,398.92,1,C,1
990,423.45,0,C,1
991,435.52,0,C,1
992,292.9,0,B,1
993,91.03,0,A,0
994,363.73,1,C,1
995,218.75,0,D,0
996,403.5,1,C,1
997,452.14,1,D,1
998,133.65,0,D,0
999,220.28,0,A,0
1000,20.84,0,A,0
1001,302.56,0,D,1
1002,409.45,1,C,1
1003,150.2,1,B,0
1004,48.88,1,C,0
1005,89.42,1,B,0
1006,57.92,0,C,0
1007,288.03,0,B,1
1008,188.68,1,D,0
1009,212.79,1,B,0
1010,226.88,1,A,0
1011,97.93,1,D,0
1012,108.88,0,D,0
1013,166.63,0,B,0
1014,468.7,0,A,1
1015,86.87,0,C,0
1016,452.54,0,A,1
1017,334.41,1,A,1
1018,44.69,1,D,0
1019,299.32,1,D,1
1020,382.86,0,A,1
1021,147.74,0,A,0
1022,91.99,1,B,0
1023,408.89,1,A,1
1024,68.46,0,A,0
1025,136.16,0,B,0
1026,306.39,0,C,1
1027,444.51,0,B,1
1028,161.89,1,C,0
1029,180.46,1,D,0
1030,404.2,0,B,1
1031,472.81,0,D,1
1032,76.34,1,A,0
1033,348.17,0,A,1
1034,363.43,1,D,1
1035,202.7,1,C,0
1036,394.82,0,C,1
1037,58.08,1,D,0
1038,361.28,0,D,1
1039,24.74,0,A,0
1040,106.97,0,D,0
1041,387.73,0,C,1
1042,393.59,1,D,1
1043,290.16,0,C,1
1044,390.22,0,A,1
1045,296.01,1,D,1
1046,469.35,1,C,1
1047,462.48,1,C,1
1048,146.72,0,B,0
1049,294.6,1,A,1
1050,323.92,1,D,1
1051,189.73,0,C,0
1052,122.69,1,D,0
1053,374.49,0,B,1
1054,420.96,0,D,1
1055,325.38,0,C,1
1056,345.15,1,D,1
1057,204.8,0,D,0
1058,112.76,1,C,0
1059,78.51,1,B,0
1060,390.53,0,A,1
1061,154.89,1,B,0
1062,356.03,0,B,1
1063,448.93,0,A,1
1064,217.2,0,B,0
1065,285.18,0,C,1
1066,250.94,1,B,0
1067,40.8,0,A,0
1068,347.57,1,C,1
1069,63.8,0,C,0
1070,330.67,1,B,1
1071,128.51,1,B,0
1072,373.02,0,B,1
1073,156.59,1,C,0
1074,378.47,0,D,1
1075,335.18,0,C,1
1076,236.53,1,D,0
1077,300.66,0,A,1
1078,429.45,0,A,1
1079,351.34,0,B,1
1080,457.79,1,A,1
1081,269.34,0,A,0
1082,21.51,1,A,0
1083,262.08,1,A,0
1084,66.83,0,B,0
1085,274.75,0,C,1
1086,32.04,0,C,0
1087,85.61,1,D,0
1088,123.26,1,A,0
1089,366.14,0,D,1
1090,314.37,1,B,1
1091,440.06,1,B,1
1092,25.22,0,A,0
1093,493.26,1,B,1
1094,499.39,0,B,1
1095,192.87,1,D,0
1096,246.36,1,C,0
1097,231.77,0,A,0
1098,152.79,1,A,0
1099,232.57,1,B,0
1100,91.53,0,C,0
1101,88.76,0,D,0
1102,51.38,1,C,0
1103,324.95,1,D,1
1104,490.52,1,A,1
1105,260.14,1,C,0
1106,267.45,0,B,0
1107,35.11,1,D,0
1108,214.26,0,D,0
1109,89.34,1,B,0
1110,295.22,1,C,1
1111,43.43,0,B,0
1112,292.41,1,D,1
1113,345.65,1,B,1
1114,261.1,1,A,0
1115,133.16,1,B,0
1116,65.2,1,C,0
1117,357.27,1,A,1
1118,137.42,0,C,0
1119,126.39,1,B,0
1120,113.06,0,D,0
1121,378.8,1,B,1
1122,227.44,0,D,0
1123,290.33,0,B,1
1124,126.68,1,C,0
1125,132.49,0,C,0
1126,193.33,1,C,0
1127,300.01,1,B,1
1128,379.87,0,C,1
1129,123.08,1,C,0
1130,36.02,0,D,0
1131,17.48,1,C,0
1132,432.21,1,C,1
1133,283.88,0,D,1
1134,311.43,1,B,1
1135,317.79,0,C,1
1136,324.27,1,D,1
1137,153.54,0,C,0
1138,357.9,1,A,1
1139,23.67,0,D,0
1140,27.82,0,B,0
1141,469.72,1,C,1
1142,143.4,0,A,0
1143,314.27,0,D,1
1144,342.55,0,A,1
1145,473.63,0,C,1
1146,180.6,1,B,0
1147,258.48,1,B,0
1148,193.24,0,A,0
1149,57.77,1,B,0
1150,117.78,1,A,0
